2025-09-15 15:44:11,694 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:14:11 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:44:11,694 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:44:11,695 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:44:11,695 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:44:11,695 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:44:11,696 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:44:11,696 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:44:11,697 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:44:11,697 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:44:11,697 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:44:21,961 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:14:21 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:44:21,965 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:44:21,965 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:44:21,966 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:44:21,966 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:44:21,967 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:44:21,967 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:44:21,967 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:44:21,968 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:44:21,968 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
